sale_id,product_id,customer_id,sale_date,sale_amount,location,country,processed
1,54,37,2023-06-07,952.34,Setubal,Portugal,0
2,23,12,2023-04-21,348.67,Los Angeles,United States,0
3,77,45,2023-10-15,124.89,Luanda,Angola,0
4,88,89,2023-01-22,299.99,Lagos,Nigeria,0
5,30,78,2023-03-14,543.21,New Castle,England,0
6,2,3,2024-05-21,875.34,Nanjing,China,0
7,11,56,2023-11-04,432.10,Sochi,Russia,0
8,25,34,2024-01-19,764.32,Lviv,Ukraine,0
9,66,79,2023-02-11,199.95,Nairobi,Kenya,0
10,34,56,2024-05-21,875.34,Yanam,India,0
11,1,1,2024-05-21,875.34,Porto,Portugal,0
12,2,3,2024-05-21,875.34,Sao Paulo,Brazil,0
13,12,78,2024-02-14,489.22,Bahia,Brazil,0
14,23,12,2023-04-21,348.67,Quebec,Canada,0
15,77,45,2023-10-15,124.89,Luanda,Angola,0
16,15,67,2023-09-11,678.45,Lisbon,Portugal,0
17,88,89,2023-01-22,299.99,Lagos,Nigeria,0
18,30,78,2023-03-14,543.21,New Castle,England,0
19,42,24,2023-07-23,875.99,San Antonio,United States,0
20,11,56,2023-11-04,432.10,Sochi,Russia,0
21,25,34,2024-01-19,764.32,Lviv,Ukraine,0
22,66,79,2023-02-11,199.95,Nairobi,Kenya,0
23,34,56,2024-05-21,875.34,San Jose,United States,0
24,1,1,2024-05-21,875.34,Porto,Portugal,0
25,2,3,2024-05-21,875.34,Sao Paulo,Brazil,0
26,12,78,2024-02-14,489.22,Bahia,Brazil,0
27,15,67,2023-09-11,678.45,Lisbon,Portugal,0
28,88,89,2023-01-22,299.99,Nice,France,0
29,30,78,2023-03-14,543.21,New Castle,England,0
30,42,24,2023-07-23,875.99,San Antonio,United States,0
31,23,12,2023-04-21,348.67,Los Angeles,United States,0
32,23,12,2023-04-21,348.67,Los Angeles,United States,0
33,77,45,2023-10-15,124.89,Luanda,Angola,0
34,15,67,2023-09-11,678.45,Lisbon,Portugal,0
35,88,89,2023-01-22,299.99,Lagos,Nigeria,0
36,30,78,2023-03-14,543.21,New Castle,England,0
37,42,24,2023-07-23,875.99,San Antonio,United States,0
38,11,56,2023-11-04,432.10,Sochi,Russia,0
39,25,34,2024-01-19,764.32,Lviv,Ukraine,0
40,66,79,2023-02-11,199.95,Nairobi,Kenya,0
41,34,56,2024-05-21,875.34,San Jose,United States,0
42,1,1,2024-05-21,875.34,Porto,Portugal,0
43,2,3,2024-05-21,875.34,Sao Paulo,Brazil,0
44,12,78,2024-02-14,489.22,Bahia,Brazil,0
45,23,12,2023-04-21,348.67,Los Angeles,United States,0
46,77,45,2023-10-15,124.89,Luanda,Angola,0
